"No.","Time","Source","Destination","Protocol","Length","Info"
"703","3.808098","10.0.0.10","10.0.0.11","TCP","66","21  >  42338 [FIN, ACK] Seq=508 Ack=278 Win=131328 Len=0 TSval=287980814 TSecr=21124884"
"704","3.808099","10.0.0.10","10.0.0.11","TCP","66","21  >  42340 [FIN, ACK] Seq=508 Ack=286 Win=131328 Len=0 TSval=287980814 TSecr=21124884"
"705","3.808100","10.0.0.10","10.0.0.11","TCP","66","21  >  42342 [FIN, ACK] Seq=508 Ack=283 Win=131328 Len=0 TSval=287980814 TSecr=21124884"
"706","3.808100","10.0.0.10","10.0.0.11","TCP","66","21  >  42344 [FIN, ACK] Seq=508 Ack=284 Win=131328 Len=0 TSval=287980814 TSecr=21124884"
"707","3.808282","10.0.0.10","10.0.0.11","TCP","66","[TCP Out-Of-Order] 21  >  42366 [FIN, ACK] Seq=364 Ack=198 Win=131328 Len=0 TSval=287980813 TSecr=21124883"
"708","3.808322","10.0.0.10","10.0.0.11","TCP","66","[TCP Keep-Alive] 21  >  42344 [ACK] Seq=508 Ack=284 Win=131328 Len=0 TSval=287980814 TSecr=21124884"
"709","3.808345","10.0.0.10","10.0.0.11","TCP","66","[TCP Out-Of-Order] 21  >  42336 [FIN, ACK] Seq=460 Ack=253 Win=131328 Len=0 TSval=287980814 TSecr=21124884"
"710","3.808366","10.0.0.10","10.0.0.11","TCP","66","[TCP Out-Of-Order] 21  >  42338 [FIN, ACK] Seq=508 Ack=278 Win=131328 Len=0 TSval=287980814 TSecr=21124884"
"711","3.808387","10.0.0.10","10.0.0.11","TCP","66","[TCP Out-Of-Order] 21  >  42340 [FIN, ACK] Seq=508 Ack=286 Win=131328 Len=0 TSval=287980814 TSecr=21124884"
"712","3.808407","10.0.0.10","10.0.0.11","TCP","66","[TCP Out-Of-Order] 21  >  42342 [FIN, ACK] Seq=508 Ack=283 Win=131328 Len=0 TSval=287980814 TSecr=21124884"
"713","3.808427","10.0.0.10","10.0.0.11","TCP","66","[TCP Out-Of-Order] 21  >  42344 [FIN, ACK] Seq=508 Ack=284 Win=131328 Len=0 TSval=287980814 TSecr=21124884"
"714","3.808748","10.0.0.10","10.0.0.11","TCP","66","21  >  42348 [ACK] Seq=508 Ack=272 Win=131328 Len=0 TSval=287980818 TSecr=21124885"
"715","3.808750","10.0.0.10","10.0.0.11","TCP","66","21  >  42350 [ACK] Seq=460 Ack=251 Win=131328 Len=0 TSval=287980818 TSecr=21124885"
"716","3.808751","10.0.0.10","10.0.0.11","TCP","66","21  >  42352 [ACK] Seq=460 Ack=251 Win=131328 Len=0 TSval=287980818 TSecr=21124885"
"717","3.808751","10.0.0.10","10.0.0.11","TCP","66","21  >  42358 [ACK] Seq=412 Ack=219 Win=131328 Len=0 TSval=287980818 TSecr=21124885"
"718","3.808752","10.0.0.10","10.0.0.11","TCP","66","21  >  42346 [ACK] Seq=508 Ack=281 Win=131328 Len=0 TSval=287980818 TSecr=21124885"
"719","3.808753","10.0.0.10","10.0.0.11","TCP","66","21  >  42348 [FIN, ACK] Seq=508 Ack=272 Win=131328 Len=0 TSval=287980818 TSecr=21124885"
"720","3.808753","10.0.0.10","10.0.0.11","TCP","66","21  >  42350 [FIN, ACK] Seq=460 Ack=251 Win=131328 Len=0 TSval=287980818 TSecr=21124885"
"721","3.808754","10.0.0.10","10.0.0.11","TCP","66","21  >  42352 [FIN, ACK] Seq=460 Ack=251 Win=131328 Len=0 TSval=287980818 TSecr=21124885"
"722","3.808755","10.0.0.10","10.0.0.11","TCP","66","21  >  42358 [FIN, ACK] Seq=412 Ack=219 Win=131328 Len=0 TSval=287980818 TSecr=21124885"
"723","3.808755","10.0.0.10","10.0.0.11","TCP","66","21  >  42346 [FIN, ACK] Seq=508 Ack=281 Win=131328 Len=0 TSval=287980818 TSecr=21124885"
"724","3.808855","10.0.0.10","10.0.0.11","TCP","66","[TCP Keep-Alive] 21  >  42348 [ACK] Seq=508 Ack=272 Win=131328 Len=0 TSval=287980818 TSecr=21124885"
"725","3.808882","10.0.0.10","10.0.0.11","TCP","66","[TCP Keep-Alive] 21  >  42350 [ACK] Seq=460 Ack=251 Win=131328 Len=0 TSval=287980818 TSecr=21124885"
"726","3.808907","10.0.0.10","10.0.0.11","TCP","66","[TCP Keep-Alive] 21  >  42352 [ACK] Seq=460 Ack=251 Win=131328 Len=0 TSval=287980818 TSecr=21124885"
"727","3.808927","10.0.0.10","10.0.0.11","TCP","66","[TCP Keep-Alive] 21  >  42358 [ACK] Seq=412 Ack=219 Win=131328 Len=0 TSval=287980818 TSecr=21124885"
"728","3.808947","10.0.0.10","10.0.0.11","TCP","66","[TCP Keep-Alive] 21  >  42346 [ACK] Seq=508 Ack=281 Win=131328 Len=0 TSval=287980818 TSecr=21124885"
"729","3.808967","10.0.0.10","10.0.0.11","TCP","66","[TCP Out-Of-Order] 21  >  42348 [FIN, ACK] Seq=508 Ack=272 Win=131328 Len=0 TSval=287980818 TSecr=21124885"
"730","3.808987","10.0.0.10","10.0.0.11","TCP","66","[TCP Out-Of-Order] 21  >  42350 [FIN, ACK] Seq=460 Ack=251 Win=131328 Len=0 TSval=287980818 TSecr=21124885"
"731","3.809007","10.0.0.10","10.0.0.11","TCP","66","[TCP Out-Of-Order] 21  >  42352 [FIN, ACK] Seq=460 Ack=251 Win=131328 Len=0 TSval=287980818 TSecr=21124885"
"732","3.809027","10.0.0.10","10.0.0.11","TCP","66","[TCP Out-Of-Order] 21  >  42358 [FIN, ACK] Seq=412 Ack=219 Win=131328 Len=0 TSval=287980818 TSecr=21124885"
"733","3.809047","10.0.0.10","10.0.0.11","TCP","66","[TCP Out-Of-Order] 21  >  42346 [FIN, ACK] Seq=508 Ack=281 Win=131328 Len=0 TSval=287980818 TSecr=21124885"
"734","4.075008","fe80::d91b:8a96:eeda:dcca","ff02::1:3","LLMNR","86","Standard query 0x58a3 A sd-007"
"735","4.075095","10.0.0.12","224.0.0.252","LLMNR","66","Standard query 0x58a3 A sd-007"
"736","4.075405","fe80::d91b:8a96:eeda:dcca","ff02::1:3","LLMNR","86","Standard query 0x6561 AAAA sd-007"
"737","4.075490","10.0.0.12","224.0.0.252","LLMNR","66","Standard query 0x6561 AAAA sd-007"
"738","4.515043","10.0.0.12","10.255.255.255","NBNS","92","Name query NB HELLO<00>"
"739","5.094634","fe80::d91b:8a96:eeda:dcca","ff02::1:3","LLMNR","86","Standard query 0xbb67 A sd-007"
"740","5.094718","10.0.0.12","224.0.0.252","LLMNR","66","Standard query 0xbb67 A sd-007"
"741","5.094893","fe80::d91b:8a96:eeda:dcca","ff02::1:3","LLMNR","86","Standard query 0x3e23 AAAA sd-007"
"742","5.094969","10.0.0.12","224.0.0.252","LLMNR","66","Standard query 0x3e23 AAAA sd-007"
"743","5.375646","10.0.0.12","10.255.255.255","NBNS","92","Name query NB HELLO<00>"
"744","5.375941","fe80::d91b:8a96:eeda:dcca","ff02::1:3","LLMNR","85","Standard query 0x6e0d A hello"
"745","5.376018","10.0.0.12","224.0.0.252","LLMNR","65","Standard query 0x6e0d A hello"
"746","5.376272","fe80::d91b:8a96:eeda:dcca","ff02::1:3","LLMNR","85","Standard query 0x4aff AAAA hello"
"747","5.376345","10.0.0.12","224.0.0.252","LLMNR","65","Standard query 0x4aff AAAA hello"
"748","5.808210","fe80::d91b:8a96:eeda:dcca","ff02::1:3","LLMNR","85","Standard query 0x6e0d A hello"
"749","5.808271","10.0.0.12","224.0.0.252","LLMNR","65","Standard query 0x6e0d A hello"
"750","5.808453","fe80::d91b:8a96:eeda:dcca","ff02::1:3","LLMNR","85","Standard query 0x4aff AAAA hello"
"751","5.808508","10.0.0.12","224.0.0.252","LLMNR","65","Standard query 0x4aff AAAA hello"
"752","6.110363","fe80::d91b:8a96:eeda:dcca","ff02::1:3","LLMNR","86","Standard query 0x9fb1 A sd-007"
"753","6.110447","10.0.0.12","224.0.0.252","LLMNR","66","Standard query 0x9fb1 A sd-007"
"754","6.110739","fe80::d91b:8a96:eeda:dcca","ff02::1:3","LLMNR","86","Standard query 0x65e7 AAAA sd-007"
"755","6.110819","10.0.0.12","224.0.0.252","LLMNR","66","Standard query 0x65e7 AAAA sd-007"
"756","6.139992","10.0.0.12","10.255.255.255","NBNS","92","Name query NB HELLO<00>"
"757","6.905707","10.0.0.12","10.255.255.255","NBNS","92","Name query NB HELLO<00>"
"758","7.162109","fe80::d91b:8a96:eeda:dcca","ff02::1:3","LLMNR","86","Standard query 0x2695 A sd-007"
"759","7.162191","10.0.0.12","224.0.0.252","LLMNR","66","Standard query 0x2695 A sd-007"
"760","7.162472","fe80::d91b:8a96:eeda:dcca","ff02::1:3","LLMNR","86","Standard query 0xdb28 AAAA sd-007"
"761","7.162547","10.0.0.12","224.0.0.252","LLMNR","66","Standard query 0xdb28 AAAA sd-007"
